"#","Region","Country/Territory","2000","2011","2021","2030","2045","Type"
"73","Africa","Equatorial Guinea","-","4.2","5.5","5.9","6.0","Country"
"74","Africa","Eritrea","-","3.6","6.5","7.3","7.4","Country"
"75","Europe","Estonia","-","7.0","6.5","7.4","8.0","Country"
"76","Africa","Eswatini","-","3.1","4.6","4.9","5.0","Country"
"77","Africa","Ethiopia","-","3.4","5.0","5.3","5.4","Country"
"78","Europe","Faroe Islands","-","-","3.8","4.3","4.7","Country"
"79","Western Pacific","Fiji","-","10.9","17.7","19.6","20.7","Country"
"80","Europe","Finland","-","5.8","6.1","7.1","7.7","Country"
"81","Europe","France","-","5.4","5.3","6.0","6.5","Country"
"82","South and Central America","French Guiana","-","9.6","-","-","-","Country"
"83","Western Pacific","French Polynesia","-","8.6","25.2","26.9","28.2","Country"
"84","Africa","Gabon","-","10.3","5.5","5.9","6.0","Country"
"85","Africa","Gambia","-","2.0","1.9","2.0","2.1","Country"
"86","Europe","Georgia","-","2.8","5.7","6.3","6.6","Country"
"87","Europe","Germany","-","5.3","6.9","7.9","8.4","Country"
"88","Africa","Ghana","-","5.0","2.6","3.1","3.3","Country"
"89","Europe","Greece","-","5.1","6.4","7.5","8.2","Country"
"90","Europe","Greenland","-","-","3.3","3.8","4.1","Country"
"91","North America and Caribbean","Grenada","12.1","8.6","12.6","14.2","15.2","Country"
"92","North America and Caribbean","Guadeloupe","-","6.3","-","-","-","Country"
"93","Western Pacific","Guam","-","8.6","19.1","21.0","22.0","Country"
"94","South and Central America","Guatemala","-","9.3","13.1","14.1","14.7","Country"
"95","Africa","Guinea","-","4.4","2.1","2.2","2.3","Country"
"96","Africa","Guinea-Bissau","-","3.0","2.1","2.2","2.3","Country"
"97","North America and Caribbean","Guyana","-","16.7","11.7","13.2","14.1","Country"
"98","North America and Caribbean","Haiti","-","6.6","8.9","9.1","9.1","Country"
"99","Europe","Holy See","-","-","7.3","8.1","8.7","Country"
"100","South and Central America","Honduras","-","6.7","5.1","5.6","5.8","Country"
"101","Europe","Hungary","-","6.0","7.0","8.0","8.5","Country"
"102","Europe","Iceland","-","3.2","5.5","6.4","6.9","Country"
"103","South-East Asia","India","-","9.0","9.6","10.4","10.8","Country"
"104","Western Pacific","Indonesia","-","5.1","10.6","11.3","11.7","Country"
"105","Middle East and North Africa","Iran (Islamic Republic of)","-","11.1","9.1","10.0","10.6","Country"
"106","Middle East and North Africa","Iraq","-","9.1","10.7","11.6","12.2","Country"
"107","Europe","Ireland","-","5.2","3.0","3.6","3.9","Country"
"108","Europe","Isle of Man","-","-","6.3","7.0","7.5","Country"
"109","Europe","Israel","-","7.4","8.5","9.8","10.6","Country"
"110","Europe","Italy","-","5.1","6.4","7.4","8.0","Country"
"111","North America and Caribbean","Jamaica","-","15.7","11.1","12.6","13.3","Country"
"112","Western Pacific","Japan","-","7.7","6.6","7.7","8.3","Country"
